id,participant_number,logk_weight,wcq_percent_predicted
119,412729-412720-42948762,-3.91127283624721,0.8888888888888888
120,412729-412720-42946412,-4.137576021282187,0.8888888888888888
121,412729-412720-42989046,-0.7278548672699677,1.0
122,412729-412720-43241993,-3.282958682514229,0.8518518518518519
123,412729-412720-42945993,-3.31016508036318,0.8888888888888888
124,412729-412720-43152268,-5.520638431770777,0.9629629629629629
125,412729-412720-42509420,-6.458293818818218,0.8518518518518519
126,412729-412720-42945971,-0.8720954560673767,0.9259259259259259
127,412729-412720-42382394,-2.9512937986847865,0.8518518518518519
128,412729-412720-42949835,-3.9562415004157674,0.8518518518518519
129,412729-412720-42944996,-2.6777171090282854,0.8888888888888888
130,412729-412720-42648305,-4.162501965982631,0.9259259259259259
131,412729-412720-42946930,-3.2559073190405834,0.9629629629629629
132,412729-412720-42633621,-4.842538027040527,0.8888888888888888
133,412729-412720-42624281,-4.086558130065349,0.8518518518518519
134,412729-412720-42946551,-4.375453933873436,0.9259259259259259
135,412729-412720-42949780,-6.390190780833139,0.8518518518518519
136,412729-412720-42943831,-3.402736142632275,0.8888888888888888
137,412729-412720-42659870,-3.6473889302940643,0.8518518518518519
138,412729-412720-42945702,-3.9575293692134457,0.8148148148148148
139,412729-412720-42947488,-4.696175232542019,0.7777777777777778
140,412729-412720-43151554,-3.364100698092941,1.0
141,412729-412720-42496794,-5.1428830627869075,0.8888888888888888
142,412729-412720-42638954,-3.9358275110026986,0.8888888888888888
143,412729-412720-43240609,-4.891887638330383,0.8888888888888888
144,412729-412720-42289757,-3.934607945754698,0.7777777777777778
145,412729-412720-42633106,-4.82725346711549,0.8888888888888888
146,412729-412720-42650771,-3.725039544735636,0.9629629629629629
147,412729-412720-42947170,-4.471943078064161,0.8888888888888888
148,412729-412720-42627546,-4.076018969333902,0.9629629629629629
149,412729-412720-42951291,-4.380809546726778,0.9259259259259259
150,412729-412720-42945142,-2.627539985139585,1.0
151,412729-412720-42623295,-3.7540563821731014,0.8888888888888888
152,412729-412720-43157655,-6.9746885117608235,0.8888888888888888
153,412729-412720-42622401,-5.050006840273009,0.8518518518518519
154,412729-412720-42628660,-4.227182585169263,0.9259259259259259
155,412729-412720-42950597,-3.901268489493099,0.8888888888888888
156,412729-412720-42304899,-4.496043211254648,0.9259259259259259
157,412729-412720-42950059,-3.1320859008931086,0.9629629629629629
158,412729-412720-42649293,-5.520521301458577,0.9629629629629629
159,412729-412720-43152650,-3.993296683916707,0.8888888888888888
160,412729-412720-42653494,-5.357090789851351,0.8888888888888888
161,412729-412720-43156713,-4.956162953105944,0.8518518518518519
162,412729-412720-42653135,-3.3696282646863875,1.0
163,412729-412720-42627706,-4.586224882415852,0.9259259259259259
164,412729-412720-42944384,-4.425451550517839,0.8888888888888888
165,412729-412720-43152324,-3.5959157876944787,0.9629629629629629
